task_key,env_id,bucket,risk_score,session_count,review_priority,constant_type,constant,prompt_mentions_constant,likely_source_app,occurrence_count,verifier_line_numbers,verifier_context,derivability_question,prompt_preview
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,money,1642.5,False,ledger,44,167|171|173|176|193,"# Invoice for North Loop Design Co (customer_id=1) - $1642.50 north_loop_customer_id = 1 || nl_invs = invoice_by_customer[north_loop_customer_id] nl_inv_1642 = [i for i in nl_invs if abs(float(i.get(""total"", 0)) - 1642.5) < 0.01] if len(nl_inv_1642) != 1: || if len(nl_inv_1642) != 1: error_accumulator.append(f""[X] Expected exactly 1 invoice for North Loop at $1642.50, found {len(nl_inv_1642)}"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_nvpb0yuy1mj0_n_1781615257807_i11yigal7__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,13.7,2,high,money,480,False,meridian,38,58|67|68|69|71,"# ---- 2. Verify the debit line (credit card liability account) ---- # The rewards credit of $480.00 should reduce credit card liability # This means a DEBIT to the credit card (liability) account || debit_line = debit_lines[0] # Verify amount is $480.00 if abs(float(debit_line.get(""debit"", 0)) - 480.0) > 0.01: || # Verify amount is $480.00 if abs(float(debit_line.get(""debit"", 0)) - 480.0) > 0.01: error_accumulator.append(f""[X] Debit amount should be $480.00, got: {debit_line.get('debit')}"")",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"Hiya, it's been a hectic afternoon, and we've been asked to provide a final cash position summary today for proper corporate accounting. Let us settle our outstanding credit card liabilit..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,money,875,False,ledger,29,112|119|121|124|147,"# Invoice for Pecan Street Studio (new customer) - $875 pecan_customer_id = None || pecan_invs = invoice_by_customer[pecan_customer_id] pecan_inv_875 = [i for i in pecan_invs if abs(float(i.get(""total"", 0)) - 875.0) < 0.01] if len(pecan_inv_875) != 1: || if len(pecan_inv_875) != 1: error_accumulator.append(f""[X] Expected exactly 1 invoice for Pecan Street Studio at $875, found {len(pecan_inv_875)}"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_bldwgko1jup_n_1781355522269_qwmhwh80q__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.2,3,high,money,2400,False,ledger,23,34|135|137|139|697,"# - Subject: exactly the invoice number (e.g., INV-122) # - Body: contains invoice number, amount ($2,400.00), pleasure working, paper copy, meeting next week, signed Maya || # Invoice amount $2,400.00 (the dashboard build is 1 x $2,400) if contains_number(body, 2400): || if contains_number(body, 2400): success_accumulator.append(""[C] Email body contains invoice amount $2,400.00"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"Let's update Ledger with expenses and an invoice from yesterday and today. First, we need to link my Meridian Gold credit card with Ledger. Name the account Meridian Credit Card, the bank..."
task_nvpb0yuy1mj0_n_1781615257807_i11yigal7__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,13.7,2,high,money,9271.42,False,harbor,22,224|263|316|549|552,"# ======================================================================== # The payment of $9,271.42 (927142 cents) should have been deducted from account 1 # Original balance: 3085875, new balance: 2158733 (3085875 ... || else: success_accumulator.append(""[C] Transaction amount is correctly -927142 ($9,271.42 debit)"") || else: success_accumulator.append(""[C] Transfer amount is correctly 927142 ($9,271.42)"")","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?","Hiya, it's been a hectic afternoon, and we've been asked to provide a final cash position summary today for proper corporate accounting. Let us settle our outstanding credit card liabilit..."
task_ivnptdiryl3z_n_1781663573660_22n9ikfo2__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.5,3,high,money,20,False,lifeline,21,193|204|205|207|508,"# Check Omar Pierce with guarantor #100009004 and $20.00 if normalized_contains(""Omar Pierce"", desc): || if contains_number(desc, 20.00): success_accumulator.append(""[C] Description contains Omar's amount $20.00"") || if contains_number(desc, 20.00): success_accumulator.append(""[C] Description contains Omar's amount $20.00"") else:",Can this health billing amount be uniquely derived from Lifeline records?,"It's my monthly household medical-bill cleanup in Lifeline. I manage four records there: my own (Maya Rivera, MRN-RP-9001), Lena Rivera (MRN-RP-9003), Jordan Pierce (MRN-RP-9002), and Oma..."
task_ivnptdiryl3z_n_1781663573660_22n9ikfo2__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.5,3,high,money,62.47,False,lifeline,21,177|188|189|191|549,"# Check Maya Rivera with guarantor #100009001 and $62.47 if normalized_contains(""Maya Rivera"", desc): || if contains_number(desc, 62.47): success_accumulator.append(""[C] Description contains Maya's amount $62.47"") || if contains_number(desc, 62.47): success_accumulator.append(""[C] Description contains Maya's amount $62.47"") else:",Can this health billing amount be uniquely derived from Lifeline records?,"It's my monthly household medical-bill cleanup in Lifeline. I manage four records there: my own (Maya Rivera, MRN-RP-9001), Lena Rivera (MRN-RP-9003), Jordan Pierce (MRN-RP-9002), and Oma..."
task_w6gnjtwmquh5_n_1781290281803_tqfgsxjic__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,money,18.63,False,ledger,21,135|136|137|139|462,"# Must mention $18.63 (amount of the bill that was paid) if contains_number(body, 18.63): || # Must mention $18.63 (amount of the bill that was paid) if contains_number(body, 18.63): success_accumulator.append(""[C] Email body contains bill amount $18.63"") || if contains_number(body, 18.63): success_accumulator.append(""[C] Email body contains bill amount $18.63"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"I finally have time to clean up our subscriptions. An old StreamBox to-do has been sitting in my Latch tasks for months, and our reminder list in Ledger no longer matches what we actually..."
task_mkkgy4cmj0dr_n_1781644551453_p2xclptoe__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,13.2,3,high,money,4735.41,False,meridian,20,344|352|353|354|356,"# 1. Verify a new payment was inserted on account_id=1 for $4,735.41 new_payments = find_new_entries(""payment"", filter_conditions={""account_id"": 1}) || # Verify payment amount is $4,735.41 if abs(new_payment[""payment_amount""] - 4735.41) > 0.01: || # Verify payment amount is $4,735.41 if abs(new_payment[""payment_amount""] - 4735.41) > 0.01: error_accumulator.append(f""[X] Payment amount should be 4735.41, got {new_payment['payment_amount']}"")",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"I have some spare time and I need to look into the bank alert that was sent to me on Latch yesterday. I flagged it to look into later, but now is the perfect time! Find the email and head..."
task_glvi0nyc1p6y_n_1781782792093_gihqex5xi__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.6,2,high,money,14486.83,False,meridian,17,129|138|581|583|584,"assert meridian_transfers[0][""status""] == ""completed"" success_accumulator.append(""[C] Meridian payment transfer found (external ACH, $14,486.83)"") except AssertionError as e: || assert cc_pay_transfers[0][""status""] == ""completed"" success_accumulator.append(""[C] CC payment transfer found (internal, account 1 → 3, $14,486.83)"") except AssertionError as e: || # Verify last_payment_amount is 14486.83 (the full outstanding balance) try:",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"I want to clear my credit card balances today and make sure everything is set up properly afterward, then send my husband a quick update once it's all done. In Meridian, identify the tota..."
task_itxsazhocgr_n_1781289458817_snuiks36m__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.8,3,high,money,14486.83,False,meridian,17,370|380|749|761|763,"# ========================================================================= # The Meridian CC had a balance of $14,486.83 = 1448683 cents # This should be an ACH debit from checking account (id=1) || if mt.get(""status"") == ""completed"": success_accumulator.append(""[C] Meridian CC payment transfer of $14,486.83 is completed"") else: || # ============================================================ # The seed account 1 had current_balance = 14486.83 # It should now be paid in full (balance = 0)",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"We are nearing the end of this month (October, 2025), and I'm thinking that I should evaluate how my spending has been, along with paying the credit card bill and sorting out my emergency..."
task_qzuenxoozak_n_1781195720034_vv4ic4hmb__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.0,3,high,money,14486.83,False,meridian,15,61|73|316|495|496,"# ============================================================ # The Meridian payment amount is $14,486.83 = 1448683 cents new_txn_acct1 = find_new_entries(""transaction_record"", filter_conditions={""account_id"": 1}) || else: success_accumulator.append(""[C] Meridian payment of $14,486.83 recorded correctly"") || else: success_accumulator.append(""[C] Meridian transfer of $14,486.83 found in transfer table"")",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"Today I'm responsible for organizing some things regarding payment and the bank account and I'll need your help. To start, in Meridian, pay the open bill that's due on October 18th, using..."
task_yqupdaywlvqb_n_1781306014106_ejs854ja4__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.55,3,high,money,187.5,False,harbor,15,33|35|59|863|864,"# The task requires transferring the total of Medical Out of Pocket expenses ($187.50 = 18750 cents) # from Everyday Checking (account 1) to Emergency Savings (account 2). || # from Everyday Checking (account 1) to Emergency Savings (account 2). transfer_amount = 18750 # $187.50 in cents || else: success_accumulator.append(f""[C] Transfer amount is correct: {transfer_amount} cents ($187.50)"")","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?",We're on a high-deductible plan with BrightPath Insurance and I track our medical out-of-pocket spending every month. I want October's claim filed and the books squared away today. Start ...
